,open,high,low,close,volume
2022-12-27,61.9800,62.4100,61.6600,61.8800,744145
2022-12-28,62.0800,62.0800,61.0800,61.3300,1293906
2022-12-29,61.0000,62.2200,60.8500,62.0000,1006366
2022-12-30,61.8000,61.9700,61.3300,61.4000,867268
2023-01-02,61.9600,63.8800,61.8900,63.7800,1836012
2023-01-03,63.7000,64.9400,63.6600,64.0500,1630673
2023-01-04,64.4000,66.1100,64.3000,65.8600,2715145
2023-01-05,65.7800,66.6600,65.3600,66.4100,1793620
2023-01-06,66.6300,67.0800,64.9500,66.4600,2127422
2023-01-09,67.1100,67.7000,66.8900,67.3200,2399636
2023-01-10,67.3200,67.9800,66.8800,67.7500,2376716
2023-01-11,67.9800,68.4700,67.7900,68.1400,2116073
2023-01-12,68.4200,69.1300,67.9600,68.9000,2712212
2023-01-13,68.6800,68.6800,66.7300,67.0400,3072434
2023-01-16,67.4300,67.4500,66.6200,67.1600,1466111
2023-01-17,67.1600,67.8000,66.4500,67.2300,1582531
2023-01-18,67.3300,67.7000,66.9200,67.3000,1245010
2023-01-19,66.5900,66.9100,65.5200,65.5200,2152459
2023-01-20,66.0400,66.2000,65.2800,65.7900,2128467
2023-01-23,66.5100,67.3600,66.0800,67.2700,1724442
2023-01-24,67.6000,68.2500,67.0600,67.7500,2031321
2023-01-25,67.5700,67.9400,67.2100,67.6000,1309779
2023-01-26,68.0900,68.4500,67.7000,68.3000,1733510
2023-01-27,68.5100,69.2400,68.5100,68.8700,1970350
2023-01-30,69.1000,69.1300,67.2300,67.7200,2593538
2023-01-31,67.4800,68.3000,66.8200,68.1500,2386354
2023-02-01,68.5100,69.7800,68.2300,69.6000,2608230
2023-02-02,69.9500,72.8400,69.5600,72.2000,4335198
2023-02-03,71.6800,72.6800,71.1300,72.0000,3214000
2023-02-06,71.4500,72.0500,70.6900,71.8500,1925947
2023-02-07,72.0300,72.4900,71.5900,71.9500,1661559
2023-02-08,72.1100,72.5700,71.2200,71.7900,1721447
2023-02-09,71.9000,73.3800,71.9000,72.9900,2361035
2023-02-10,72.6700,72.9500,71.4000,71.9600,2045968
2023-02-13,72.0000,72.2500,71.4700,71.4700,1207531
2023-02-14,71.6800,72.2400,71.1100,71.4800,1602344
2023-02-15,71.4500,72.4700,71.3200,72.3600,1530975
2023-02-16,72.8000,73.1500,71.7000,72.5800,2101550
2023-02-17,73.6100,75.0600,73.5400,74.6400,5170528
2023-02-20,75.0000,75.5500,74.8200,74.8700,1619956
2023-02-21,74.8600,75.1200,73.6200,74.5900,1779722
2023-02-22,74.1700,74.3600,73.4700,73.9800,1935831
2023-02-23,74.2600,74.8800,74.0500,74.1100,2167050
2023-02-24,74.4800,74.6100,71.9400,71.9400,5234674
2023-02-27,72.9000,73.1300,72.4100,72.5900,1552245
2023-02-28,72.3100,73.5400,71.7600,72.6500,2395280
2023-03-01,73.1500,74.0800,72.7400,73.3300,2058806
2023-03-02,72.9200,73.8800,72.1900,73.6200,1635655
2023-03-03,73.6200,75.8400,73.6200,75.5900,2941485
2023-03-06,75.7500,75.9200,75.2600,75.7700,1543597
2023-03-07,75.5700,75.8200,75.1500,75.3400,1336673
2023-03-08,75.3600,75.7700,74.9600,75.1200,1804184
2023-03-09,75.3400,75.7500,73.6600,74.7700,1935647
2023-03-10,72.5000,74.2400,72.2500,74.0300,2665376
2023-03-13,74.3900,74.5900,71.4200,71.6800,4137051
2023-03-14,72.1200,72.9900,71.2400,72.8200,2859137
2023-03-15,72.8200,72.9600,69.7200,70.1500,4519645
2023-03-16,71.0800,71.2800,68.7900,70.3600,4593018
2023-03-17,70.9000,71.2300,68.3500,69.2600,9158469
2023-03-20,68.8400,69.6100,67.0200,69.1400,2625711
2023-03-21,70.1700,71.2500,70.0500,70.4800,2673789
2023-03-22,70.6100,71.7200,70.5000,71.1700,1921978
